Product_Name,Category,Brand,Price_INR,Quantity_Sold,Total_Sales,Store_Type,City,Area_Type,Date,Discount_Percentage,Customer_Rating,Competitor_Price,Demand_Level,Profit_Margin
Hair Oil,Personal Care,Store Brand,133.92,15,2008.8,Kirana Store,Ahmedabad,Urban,2025-08-14,7.36,2.8,129.04,Low,17.5
Wheat Flour,Groceries,Dabur,90.71,16,1451.36,Supermarket,Pune,Urban,2025-08-24,5.85,3.3,91.71,Low,23.73
Sugar,Groceries,Reliance,89.99,26,2339.74,Kirana Store,Bangalore,Rural,2025-12-15,29.81,2.8,92.17,Low,19.6
Soap,Personal Care,Local Brand,189.96,41,7788.36,Kirana Store,Delhi,Rural,2026-03-21,18.38,1.7,192.92,Medium,19.51
Dishwash Bar,Household,Store Brand,81.59,59,4813.81,Kirana Store,Pune,Rural,2026-02-05,29.25,2.1,81.71,Medium,7.84
Sugar,Groceries,Local Brand,69.33,34,2357.22,Kirana Store,Chennai,Semi-Urban,2025-07-02,18.28,3.4,74.68,Medium,6.23
Sugar,Groceries,Fortune,114.43,33,3776.19,Supermarket,Bangalore,Urban,2025-08-02,14.4,3.4,108.7,Medium,24.8
Dal,Groceries,Reliance,120.35,27,3249.45,Kirana Store,Bangalore,Semi-Urban,2025-06-23,4.24,3.5,128.95,Low,15.26
Hair Oil,Personal Care,HUL,41.21,98,4038.58,Mall,Delhi,Urban,2025-06-17,21.92,3.7,42.98,High,16.62
Dishwash Bar,Household,Local Brand,124.33,32,3978.56,Kirana Store,Pune,Rural,2026-01-06,14.05,2.9,112.27,Medium,24.81
Hair Oil,Personal Care,Fortune,146.13,15,2191.95,Supermarket,Delhi,Urban,2026-03-23,0.44,3.4,140.38,Low,28.12
Floor Cleaner,Household,Dabur,56.27,64,3601.28,Supermarket,Mumbai,Semi-Urban,2025-11-11,14.45,4.2,58.89,High,15.16
Wheat Flour,Groceries,Local Brand,111.73,40,4469.2,Kirana Store,Chennai,Urban,2026-03-04,8.98,3.9,104.51,Medium,10.17
Soap,Personal Care,Local Brand,155.72,29,4515.88,Supermarket,Chennai,Urban,2025-12-26,21.04,1.6,169.48,Low,16.78
Detergent,Household,Aashirvaad,228.2,21,4792.2,Supermarket,Bangalore,Urban,2025-11-30,16.12,4.9,247.96,Low,12.97
Hair Oil,Personal Care,Aashirvaad,123.93,65,8055.45,Supermarket,Chennai,Urban,2025-07-17,22.55,4.3,122.47,High,22.2
Hair Oil,Personal Care,Fortune,104.9,55,5769.5,Supermarket,Ahmedabad,Urban,2025-11-17,20.13,4.6,104.11,Medium,14.72
Floor Cleaner,Household,Aashirvaad,511.08,12,6132.96,Supermarket,Chennai,Urban,2025-09-07,13.31,4.2,549.92,Low,26.0
Floor Cleaner,Household,Tata,372.38,11,4096.18,Supermarket,Pune,Urban,2025-11-28,24.11,3.7,361.81,Low,20.93
Shampoo,Personal Care,Patanjali,291.2,25,7280.0,Supermarket,Hyderabad,Urban,2025-05-12,25.71,3.2,280.74,Low,13.87
Toothpaste,Personal Care,HUL,128.74,22,2832.28,Kirana Store,Pune,Semi-Urban,2026-03-16,7.56,4.0,120.09,Low,21.5
Toothpaste,Personal Care,Dabur,28.69,68,1950.92,Kirana Store,Ahmedabad,Semi-Urban,2025-08-22,2.7,3.0,29.99,High,20.26
Detergent,Household,Store Brand,267.58,32,8562.56,Supermarket,Bangalore,Rural,2025-08-27,26.75,2.4,276.34,Medium,14.77
Floor Cleaner,Household,Store Brand,90.34,18,1626.12,Supermarket,Hyderabad,Rural,2025-12-13,27.3,3.3,94.52,Low,13.31
Rice,Groceries,Local Brand,127.42,31,3950.02,Mall,Mumbai,Urban,2025-08-24,24.35,4.2,129.6,Medium,9.45
Dal,Groceries,Local Brand,42.04,35,1471.4,Kirana Store,Bangalore,Rural,2025-12-09,26.46,3.5,43.6,Medium,5.48
Detergent,Household,HUL,271.8,20,5436.0,Supermarket,Pune,Urban,2025-11-16,5.32,4.3,287.45,Low,28.78
Detergent,Household,P&G,477.66,23,10986.18,Kirana Store,Ahmedabad,Rural,2025-07-09,23.11,5.0,432.99,Low,11.88
Toothpaste,Personal Care,Aashirvaad,27.43,77,2112.11,Kirana Store,Delhi,Semi-Urban,2025-07-26,8.59,4.5,25.96,High,21.63
Hair Oil,Personal Care,Reliance,161.31,28,4516.68,Kirana Store,Chennai,Semi-Urban,2025-08-31,7.76,2.6,161.59,Low,16.66
Soap,Personal Care,Patanjali,70.88,10,708.8,Supermarket,Ahmedabad,Semi-Urban,2025-12-21,7.71,3.8,77.52,Low,17.97
Shampoo,Personal Care,Store Brand,195.64,25,4891.0,Supermarket,Mumbai,Semi-Urban,2025-12-07,3.71,4.2,211.18,Low,22.08
Dishwash Bar,Household,P&G,481.85,15,7227.75,Mall,Bangalore,Urban,2025-06-27,9.49,3.6,503.89,Low,21.3
Floor Cleaner,Household,Local Brand,133.89,13,1740.57,Supermarket,Ahmedabad,Rural,2025-05-31,3.64,2.1,122.46,Low,16.08
Toothpaste,Personal Care,Tata,128.98,17,2192.66,Supermarket,Chennai,Urban,2025-08-18,12.56,4.5,129.31,Low,20.28
Rice,Groceries,Local Brand,140.16,21,2943.36,Kirana Store,Chennai,Rural,2026-01-20,15.04,3.0,150.4,Low,17.91
Cooking Oil,Groceries,Fortune,264.98,11,2914.78,Supermarket,Bangalore,Urban,2025-09-25,0.61,4.1,273.89,Low,23.17
Hair Oil,Personal Care,Tata,64.45,35,2255.75,Kirana Store,Pune,Urban,2025-08-12,23.04,4.2,63.74,Medium,22.83
Floor Cleaner,Household,Dabur,412.72,10,4127.2,Kirana Store,Bangalore,Rural,2025-07-06,21.94,2.1,432.41,Low,17.18
Toothpaste,Personal Care,Store Brand,63.36,47,2977.92,Kirana Store,Pune,Rural,2025-06-05,8.27,3.0,62.0,Medium,24.2
Toothpaste,Personal Care,Store Brand,215.16,31,6669.96,Supermarket,Mumbai,Semi-Urban,2026-01-10,9.77,4.4,218.91,Medium,18.74
Dishwash Bar,Household,Dabur,372.26,9,3350.34,Kirana Store,Hyderabad,Rural,2025-05-06,25.22,2.4,360.84,Low,7.96
Floor Cleaner,Household,Tata,303.76,7,2126.32,Supermarket,Hyderabad,Urban,2025-11-10,13.63,3.1,276.61,Low,23.26
Toothpaste,Personal Care,Fortune,255.23,13,3317.99,Kirana Store,Chennai,Semi-Urban,2025-06-18,11.26,3.0,254.94,Low,17.48
Dal,Groceries,HUL,134.81,61,8223.41,Supermarket,Bangalore,Urban,2025-08-04,22.38,3.5,146.49,High,18.34
Dal,Groceries,Reliance,174.3,15,2614.5,Kirana Store,Hyderabad,Semi-Urban,2026-03-28,28.4,3.6,157.53,Low,11.83
Wheat Flour,Groceries,Local Brand,32.24,32,1031.68,Kirana Store,Pune,Semi-Urban,2026-01-08,11.55,2.0,33.45,Medium,19.58
Dishwash Bar,Household,HUL,150.93,33,4980.69,Supermarket,Pune,Urban,2025-08-11,18.11,5.0,155.1,Medium,17.38
Cooking Oil,Groceries,HUL,284.95,9,2564.55,Supermarket,Mumbai,Urban,2025-05-17,29.72,3.8,292.7,Low,23.6
Detergent,Household,Patanjali,431.9,6,2591.4,Supermarket,Hyderabad,Urban,2025-12-13,9.65,2.6,471.54,Low,19.47
Shampoo,Personal Care,Tata,141.97,17,2413.49,Supermarket,Ahmedabad,Urban,2026-03-07,19.38,3.1,144.99,Low,11.37
Detergent,Household,Store Brand,350.51,13,4556.63,Kirana Store,Hyderabad,Rural,2026-03-29,6.5,2.7,379.17,Low,16.15
Wheat Flour,Groceries,Local Brand,116.03,35,4061.05,Kirana Store,Ahmedabad,Rural,2025-05-08,17.25,3.1,111.88,Medium,5.08
Rice,Groceries,Patanjali,80.67,35,2823.45,Supermarket,Ahmedabad,Semi-Urban,2026-02-10,5.07,3.6,79.88,Medium,20.57
Wheat Flour,Groceries,Patanjali,74.97,35,2623.95,Supermarket,Pune,Semi-Urban,2026-01-30,0.63,1.7,76.46,Medium,23.72
Detergent,Household,Patanjali,128.75,23,2961.25,Kirana Store,Chennai,Semi-Urban,2025-04-28,5.13,2.3,139.61,Low,13.84
Floor Cleaner,Household,Tata,688.45,8,5507.6,Mall,Delhi,Urban,2026-03-25,18.46,3.0,694.23,Low,14.36
Wheat Flour,Groceries,Dabur,119.15,18,2144.7,Kirana Store,Pune,Rural,2025-10-12,25.99,3.5,127.07,Low,11.7
Hair Oil,Personal Care,Local Brand,115.92,21,2434.32,Kirana Store,Mumbai,Rural,2026-03-06,7.81,3.9,122.71,Low,15.42
Cooking Oil,Groceries,Store Brand,47.92,39,1868.88,Kirana Store,Hyderabad,Rural,2025-12-04,5.12,2.6,51.99,Medium,19.32
Wheat Flour,Groceries,Patanjali,79.98,46,3679.08,Kirana Store,Chennai,Urban,2025-06-16,29.06,3.3,86.1,Medium,10.56
Detergent,Household,HUL,258.49,19,4911.31,Supermarket,Pune,Urban,2025-08-03,10.09,4.4,235.8,Low,17.88
Detergent,Household,P&G,614.66,10,6146.6,Supermarket,Delhi,Urban,2025-09-01,8.09,4.1,628.21,Low,17.65
Dishwash Bar,Household,Tata,159.22,49,7801.78,Supermarket,Delhi,Urban,2026-01-13,2.86,3.1,163.93,Medium,22.75
Toothpaste,Personal Care,Patanjali,97.05,31,3008.55,Kirana Store,Ahmedabad,Rural,2025-04-12,6.79,2.6,99.34,Medium,15.95
Soap,Personal Care,HUL,387.15,23,8904.45,Mall,Hyderabad,Urban,2025-07-28,26.81,4.2,403.37,Low,11.51
Toothpaste,Personal Care,Patanjali,263.73,19,5010.87,Supermarket,Chennai,Semi-Urban,2025-12-27,18.85,2.5,242.11,Low,14.59
Wheat Flour,Groceries,Fortune,243.14,12,2917.68,Kirana Store,Delhi,Urban,2025-11-06,8.12,4.1,225.68,Low,28.61
Dishwash Bar,Household,Aashirvaad,112.8,25,2820.0,Kirana Store,Delhi,Urban,2026-03-09,5.33,4.6,116.42,Low,28.77
Floor Cleaner,Household,Tata,135.15,45,6081.75,Mall,Delhi,Urban,2026-02-13,6.13,4.6,121.81,Medium,15.44
Wheat Flour,Groceries,Aashirvaad,241.89,25,6047.25,Mall,Pune,Urban,2025-08-23,4.59,3.3,242.07,Low,19.82
Rice,Groceries,Reliance,123.43,33,4073.19,Supermarket,Mumbai,Urban,2025-12-20,10.96,2.3,114.64,Medium,17.74
Rice,Groceries,Patanjali,68.2,62,4228.4,Supermarket,Chennai,Urban,2025-10-12,24.3,4.1,65.83,High,19.66
Cooking Oil,Groceries,HUL,131.42,36,4731.12,Supermarket,Ahmedabad,Urban,2026-01-24,18.3,3.4,129.79,Medium,12.71
Toothpaste,Personal Care,P&G,354.71,16,5675.36,Mall,Delhi,Urban,2025-10-06,25.58,3.2,358.28,Low,14.39
Dishwash Bar,Household,HUL,104.87,34,3565.58,Supermarket,Chennai,Urban,2025-12-27,12.95,3.3,114.73,Medium,25.17
Soap,Personal Care,P&G,112.56,32,3601.92,Supermarket,Hyderabad,Urban,2025-04-27,22.17,4.6,109.08,Medium,19.59
Dal,Groceries,P&G,209.7,42,8807.4,Supermarket,Delhi,Urban,2025-08-27,16.14,3.6,226.96,Medium,10.28
Toothpaste,Personal Care,Store Brand,135.99,37,5031.63,Kirana Store,Chennai,Rural,2025-11-09,15.39,2.5,123.72,Medium,14.51
Cooking Oil,Groceries,Patanjali,110.82,58,6427.56,Kirana Store,Chennai,Semi-Urban,2025-09-02,29.82,2.7,105.78,Medium,8.48
Shampoo,Personal Care,Tata,387.55,17,6588.35,Mall,Mumbai,Urban,2025-08-08,10.82,4.9,420.84,Low,23.92
Sugar,Groceries,Patanjali,41.83,18,752.94,Kirana Store,Hyderabad,Urban,2025-09-08,2.99,2.0,39.04,Low,11.01
Hair Oil,Personal Care,Store Brand,26.82,39,1045.98,Kirana Store,Hyderabad,Semi-Urban,2025-07-11,4.41,1.8,25.41,Medium,21.97
Cooking Oil,Groceries,Dabur,45.78,19,869.82,Supermarket,Delhi,Urban,2025-05-05,15.49,4.0,50.15,Low,11.27
Detergent,Household,Aashirvaad,535.44,10,5354.4,Supermarket,Ahmedabad,Urban,2025-09-04,3.95,4.5,521.43,Low,26.12
Shampoo,Personal Care,Fortune,244.46,28,6844.88,Kirana Store,Pune,Urban,2025-10-31,19.9,3.2,252.67,Low,20.31
Dishwash Bar,Household,Reliance,137.62,50,6881.0,Kirana Store,Hyderabad,Semi-Urban,2025-07-19,8.17,2.8,139.38,Medium,22.16
Wheat Flour,Groceries,HUL,135.78,18,2444.04,Mall,Hyderabad,Urban,2026-03-20,24.28,3.7,127.42,Low,13.7
Rice,Groceries,Tata,251.72,11,2768.92,Supermarket,Delhi,Urban,2025-06-16,8.29,4.2,237.72,Low,24.79
Cooking Oil,Groceries,Store Brand,147.69,20,2953.8,Mall,Chennai,Urban,2025-09-07,17.04,3.6,136.5,Low,14.2
Dishwash Bar,Household,Local Brand,290.29,11,3193.19,Supermarket,Chennai,Semi-Urban,2025-10-12,20.9,2.6,311.61,Low,13.62
Detergent,Household,Dabur,195.39,25,4884.75,Kirana Store,Mumbai,Semi-Urban,2025-08-14,10.18,3.7,198.9,Low,13.5
Toothpaste,Personal Care,Local Brand,173.12,38,6578.56,Supermarket,Bangalore,Rural,2025-04-26,7.83,2.1,179.21,Medium,18.71
Floor Cleaner,Household,Patanjali,250.26,9,2252.34,Kirana Store,Pune,Semi-Urban,2025-05-06,14.11,2.8,269.8,Low,23.3
Wheat Flour,Groceries,Tata,65.7,50,3285.0,Mall,Hyderabad,Urban,2025-07-29,23.69,3.5,70.49,Medium,22.54
Cooking Oil,Groceries,Reliance,59.36,31,1840.16,Mall,Ahmedabad,Urban,2026-01-12,10.72,2.6,62.25,Medium,18.37
Shampoo,Personal Care,Store Brand,145.97,12,1751.64,Kirana Store,Hyderabad,Rural,2025-08-03,3.57,3.8,132.63,Low,18.59
Detergent,Household,Reliance,216.2,34,7350.8,Kirana Store,Mumbai,Semi-Urban,2025-08-03,13.98,1.7,233.16,Medium,21.46
Dishwash Bar,Household,Aashirvaad,391.14,8,3129.12,Mall,Pune,Urban,2025-09-21,5.22,3.9,368.61,Low,22.06
Floor Cleaner,Household,P&G,169.64,19,3223.16,Supermarket,Ahmedabad,Urban,2026-01-27,16.74,3.5,157.39,Low,23.64
Cooking Oil,Groceries,Tata,170.78,41,7001.98,Supermarket,Ahmedabad,Urban,2025-04-09,12.62,3.5,173.3,Medium,19.59
Cooking Oil,Groceries,Aashirvaad,87.97,39,3430.83,Mall,Pune,Urban,2026-03-10,9.9,3.6,96.19,Medium,16.11
Dishwash Bar,Household,Aashirvaad,700.2,28,19605.6,Mall,Ahmedabad,Urban,2025-10-04,25.08,3.8,677.01,Low,23.77
Cooking Oil,Groceries,Store Brand,104.68,39,4082.52,Kirana Store,Delhi,Semi-Urban,2025-04-14,1.92,1.7,100.45,Medium,20.31
Sugar,Groceries,HUL,202.06,46,9294.76,Supermarket,Mumbai,Urban,2025-11-01,3.91,4.2,192.69,Medium,16.74
Soap,Personal Care,Local Brand,116.5,16,1864.0,Kirana Store,Delhi,Rural,2026-03-26,16.63,3.7,107.89,Low,9.18
Shampoo,Personal Care,Dabur,219.96,43,9458.28,Supermarket,Mumbai,Semi-Urban,2025-12-10,12.25,2.6,214.18,Medium,23.97
Cooking Oil,Groceries,Local Brand,30.72,95,2918.4,Kirana Store,Ahmedabad,Rural,2025-12-05,26.95,1.6,30.93,High,6.04
Detergent,Household,Local Brand,319.02,9,2871.18,Mall,Chennai,Urban,2025-12-14,0.92,3.8,309.89,Low,22.47
Detergent,Household,Store Brand,78.6,26,2043.6,Kirana Store,Pune,Rural,2025-11-09,14.99,1.8,73.21,Low,21.12
Detergent,Household,Fortune,640.42,29,18572.18,Kirana Store,Ahmedabad,Urban,2025-05-05,24.84,3.3,596.13,Low,16.99
Sugar,Groceries,Reliance,91.58,33,3022.14,Mall,Mumbai,Urban,2026-01-13,20.34,3.6,94.79,Medium,14.75
Sugar,Groceries,HUL,188.5,47,8859.5,Mall,Pune,Urban,2025-09-27,3.88,3.9,185.59,Medium,18.07
Shampoo,Personal Care,P&G,127.43,18,2293.74,Supermarket,Chennai,Urban,2026-02-01,28.17,4.6,128.56,Low,12.15
Dishwash Bar,Household,Aashirvaad,614.43,31,19047.33,Supermarket,Mumbai,Semi-Urban,2026-01-11,24.91,3.4,559.1,Medium,19.1
Detergent,Household,Patanjali,327.72,9,2949.48,Supermarket,Pune,Urban,2025-11-13,22.53,4.1,318.49,Low,14.91
Soap,Personal Care,Local Brand,51.78,25,1294.5,Kirana Store,Bangalore,Rural,2025-12-01,2.17,3.2,53.86,Low,19.68
Detergent,Household,Fortune,435.16,16,6962.56,Kirana Store,Pune,Semi-Urban,2025-06-27,29.95,4.6,444.34,Low,23.01
Wheat Flour,Groceries,Fortune,99.27,35,3474.45,Supermarket,Hyderabad,Urban,2025-09-04,19.49,4.4,95.61,Medium,15.55
Sugar,Groceries,Aashirvaad,84.74,53,4491.22,Supermarket,Bangalore,Urban,2025-06-25,21.14,4.5,83.9,Medium,18.24
Floor Cleaner,Household,Store Brand,154.27,36,5553.72,Kirana Store,Bangalore,Rural,2025-04-09,25.85,2.2,146.84,Medium,11.05
Floor Cleaner,Household,Aashirvaad,442.91,8,3543.28,Kirana Store,Mumbai,Urban,2025-10-01,17.48,3.3,416.47,Low,13.9
Detergent,Household,Patanjali,104.24,48,5003.52,Supermarket,Hyderabad,Urban,2025-12-24,4.8,4.2,107.04,Medium,22.91
Toothpaste,Personal Care,Fortune,238.12,18,4286.16,Supermarket,Chennai,Semi-Urban,2026-03-19,4.83,4.1,232.26,Low,17.39
Floor Cleaner,Household,Local Brand,167.41,46,7700.86,Kirana Store,Hyderabad,Rural,2025-10-02,11.82,4.0,164.57,Medium,11.72
Rice,Groceries,Aashirvaad,184.15,46,8470.9,Mall,Chennai,Urban,2025-12-31,9.76,4.4,201.01,Medium,19.14
Detergent,Household,Aashirvaad,446.24,9,4016.16,Supermarket,Ahmedabad,Urban,2025-06-22,4.39,4.2,463.71,Low,18.37
Floor Cleaner,Household,Dabur,258.29,63,16272.27,Kirana Store,Pune,Semi-Urban,2026-02-09,25.11,2.6,283.84,High,17.38
Shampoo,Personal Care,Dabur,158.27,20,3165.4,Supermarket,Bangalore,Semi-Urban,2026-01-07,10.43,3.5,152.96,Low,22.48
Floor Cleaner,Household,HUL,318.12,16,5089.92,Kirana Store,Chennai,Rural,2026-02-28,6.38,3.4,299.22,Low,27.49
Detergent,Household,Dabur,54.65,39,2131.35,Supermarket,Chennai,Urban,2025-06-04,27.36,2.3,59.23,Medium,15.78
Dal,Groceries,Dabur,46.97,27,1268.19,Kirana Store,Chennai,Semi-Urban,2025-07-11,6.02,2.8,49.43,Low,15.55
Dal,Groceries,Store Brand,134.85,20,2697.0,Kirana Store,Mumbai,Urban,2025-12-10,3.6,2.5,131.62,Low,15.8
Floor Cleaner,Household,Store Brand,379.31,16,6068.96,Mall,Hyderabad,Urban,2025-06-09,9.55,1.8,373.87,Low,14.1
Toothpaste,Personal Care,Fortune,130.01,33,4290.33,Supermarket,Bangalore,Urban,2026-03-21,16.29,3.0,128.29,Medium,14.9
Floor Cleaner,Household,Dabur,212.42,52,11045.84,Supermarket,Delhi,Urban,2025-10-16,21.73,2.3,192.31,Medium,5.96
Toothpaste,Personal Care,Patanjali,272.87,10,2728.7,Supermarket,Pune,Urban,2025-05-23,8.69,1.6,261.19,Low,16.18
Dishwash Bar,Household,Patanjali,413.27,7,2892.89,Supermarket,Hyderabad,Urban,2026-01-23,10.1,2.3,437.01,Low,19.43
Shampoo,Personal Care,Aashirvaad,59.53,51,3036.03,Mall,Chennai,Urban,2026-01-17,25.56,3.3,55.07,Medium,21.61
Dishwash Bar,Household,Fortune,126.32,20,2526.4,Kirana Store,Pune,Semi-Urban,2025-04-21,11.77,3.6,123.77,Low,22.96
Hair Oil,Personal Care,Local Brand,98.54,46,4532.84,Kirana Store,Ahmedabad,Rural,2025-11-18,3.12,4.4,103.62,Medium,19.72
Soap,Personal Care,Reliance,203.0,46,9338.0,Mall,Chennai,Urban,2026-02-08,15.78,4.5,192.68,Medium,19.93
Detergent,Household,Reliance,180.75,36,6507.0,Kirana Store,Chennai,Semi-Urban,2025-12-18,25.91,2.8,175.87,Medium,8.99
Hair Oil,Personal Care,Store Brand,215.55,49,10561.95,Kirana Store,Hyderabad,Rural,2025-05-24,20.9,3.0,204.21,Medium,15.06
Toothpaste,Personal Care,Store Brand,152.47,42,6403.74,Kirana Store,Ahmedabad,Rural,2026-04-01,23.58,4.1,167.23,Medium,12.77
Dishwash Bar,Household,Tata,274.25,23,6307.75,Supermarket,Delhi,Urban,2026-01-25,0.14,3.9,270.55,Low,15.92
Hair Oil,Personal Care,Reliance,149.99,19,2849.81,Kirana Store,Chennai,Semi-Urban,2025-06-24,9.94,2.5,152.88,Low,12.65
Soap,Personal Care,Dabur,244.38,36,8797.68,Kirana Store,Pune,Semi-Urban,2025-09-05,25.31,4.1,245.68,Medium,15.02
Sugar,Groceries,Store Brand,87.68,22,1928.96,Kirana Store,Ahmedabad,Rural,2025-06-29,9.66,2.0,80.9,Low,13.8
Soap,Personal Care,Dabur,226.25,24,5430.0,Mall,Mumbai,Urban,2025-07-07,3.39,4.3,231.48,Low,19.46
Floor Cleaner,Household,Local Brand,220.14,19,4182.66,Kirana Store,Bangalore,Rural,2026-02-26,8.85,4.0,208.46,Low,13.63
Rice,Groceries,Store Brand,38.2,64,2444.8,Kirana Store,Delhi,Rural,2025-05-12,12.76,4.2,36.02,High,23.34
Dishwash Bar,Household,Store Brand,237.78,11,2615.58,Mall,Ahmedabad,Urban,2026-01-06,6.91,2.4,229.65,Low,13.19
Wheat Flour,Groceries,P&G,91.57,49,4486.93,Mall,Mumbai,Urban,2026-03-31,22.46,3.1,99.84,Medium,22.94
Wheat Flour,Groceries,Reliance,89.44,44,3935.36,Kirana Store,Hyderabad,Rural,2025-06-04,28.3,1.8,83.08,Medium,13.18
Floor Cleaner,Household,Reliance,335.3,9,3017.7,Supermarket,Bangalore,Urban,2026-04-03,24.92,3.5,315.09,Low,8.05
Wheat Flour,Groceries,Reliance,116.86,40,4674.4,Supermarket,Delhi,Urban,2025-06-25,25.19,3.2,125.1,Medium,7.55
Rice,Groceries,Reliance,89.53,10,895.3,Kirana Store,Bangalore,Rural,2025-08-18,12.34,1.8,91.2,Low,18.3
Detergent,Household,Patanjali,256.58,13,3335.54,Kirana Store,Bangalore,Semi-Urban,2026-01-22,5.01,1.6,275.76,Low,15.78
Dal,Groceries,Reliance,92.84,38,3527.92,Mall,Hyderabad,Semi-Urban,2025-10-05,2.8,2.1,99.67,Medium,18.84
Toothpaste,Personal Care,Tata,219.26,44,9647.44,Kirana Store,Pune,Urban,2025-04-08,25.97,3.8,207.2,Medium,18.4
Sugar,Groceries,Patanjali,79.39,38,3016.82,Supermarket,Pune,Urban,2025-11-06,6.29,3.8,75.4,Medium,22.66
Rice,Groceries,P&G,94.99,39,3704.61,Mall,Mumbai,Semi-Urban,2025-11-21,26.2,4.8,86.54,Medium,10.26
Shampoo,Personal Care,Store Brand,149.99,20,2999.8,Kirana Store,Hyderabad,Semi-Urban,2026-03-19,1.93,1.6,154.01,Low,19.36
Toothpaste,Personal Care,Dabur,277.99,18,5003.82,Kirana Store,Delhi,Semi-Urban,2025-10-25,28.39,3.5,279.0,Low,5.37
Dal,Groceries,Fortune,140.97,44,6202.68,Mall,Chennai,Urban,2026-02-14,4.79,4.7,146.75,Medium,16.41
Floor Cleaner,Household,Aashirvaad,396.1,32,12675.2,Kirana Store,Pune,Urban,2025-11-20,23.77,3.1,384.52,Medium,14.92
Soap,Personal Care,Local Brand,22.98,42,965.16,Supermarket,Chennai,Semi-Urban,2025-05-24,26.1,1.9,22.41,Medium,12.59
Dal,Groceries,Store Brand,45.14,18,812.52,Supermarket,Delhi,Rural,2025-12-04,15.49,2.9,47.26,Low,10.83
